No;Latitude;longitude;Lokasi;Tanggal;aD;aL;DAz;Lag;w;lluminasi (%);Suhu_Atmosfer_C;Kelembapan_Pct;Kecepatan_Angin_ms;Kondisi_Awan_Pct;Transparansi_Index;Visibility
412;-7.221061111;113.2976611;Pelabuhan Trunojoyo Taddhen;12/01/2024;12.99;13.93;0.90;58.87;0.42;1.28;30.82;77.51109239;1.09;55.43049532;0.72;0
413;-6.922594444;112.4165944;Ponpes Daarul Quranan Nur Lamongan ;12/01/2024;13.02;13.96;0.97;58.95;0.42;1.28;31.22;77.24513388;1.31;65.54487542;0.65;0
414;-6.801030556;110.8358778;GSG Ma'had Aly TBS Kudus;12/01/2024;13.07;14.01;0.98;59.17;0.43;1.29;30.81;79.49947784;0.71;68.52289858;0.48;0
415;-6.960461111;110.3063889;Pantai Mangkang;12/01/2024;13.10;14.03;0.93;59.29;0.43;1.30;30.41;70.65921621;0.74;31.20432534;0.48;0
416;-6.427911111;108.3684833;"PopesasSakinah,
Indramayu,JawaBarat";12/01/2024;13.15;14.10;1.05;59.49;0.43;1.31;30.77;62.29381544;1.2;61.16112552;0.58;0
417;-6.273333333;106.9830556;Bekasi, JawaBarat;12/01/2024;13.19;14.14;1.08;59.68;0.44;1.32;29.94;77.89334886;1.74;50.84948164;0.52;0
418;-6.148058333;106.8997556;Jakarta Utara;12/01/2024;13.19;14.14;1.11;59.67;0.44;1.32;31.11;78.86494736;1.42;69.07148822;0.52;0
419;-7.16975;112.6174694;Balai Rukyat NU Condrodipo;10/02/2024;7.09;7.99;0.39;30.15;0.12;0.37;28.5;64.61708807;4.51;50.46288534;0.59;1
420;-6.216827778;107.02425;"Masjid Baitul Muttaqien
Bekasi Jawa Barat";10/02/2024;7.27;8.17;0.42;30.86;0.13;0.39;29.75;71.2937314;3.9;61.59650651;0.62;1
421;-8.576994444;116.1004889;"Mataram Nusa Tenggara
Barat";10/02/2024;6.99;7.88;0.25;29.81;0.12;0.36;29.94;63.60199724;1.03;33.45029438;0.6;0
422;-7.9128;113.8210444;Masjid Agung At-Taqwa Bondowoso;10/02/2024;7.06;7.95;0.30;30.06;0.12;0.37;25.71;62.51332157;1.69;56.85515864;0.59;0
423;-7.287122222;112.7188889;Masjid Al-Muhajirin, Surabaya;10/02/2024;7.09;7.98;0.37;30.15;0.12;0.37;25.88606558;76.79248277;3.223670828;84.8302355;0.59;0
424;-7.534952778;112.2115778;"Masjid Denanyar Jombang,
Jawa Timur";10/02/2024;7.11;8.00;0.32;30.25;0.12;0.37;27.62;68.54116942;2.52;54.92637494;0.59;0
425;-7.5297;112.4093806;Masjid Agung Darussalam Sooko Mojokerto;10/02/2024;7.10;8.00;0.33;30.22;0.12;0.37;27.62;67.98409354;2.52;68.13894686;0.59;0
426;-7.221061111;113.2976611;Pelabuhan Trunojoyo Taddhen;10/02/2024;7.07;7.96;0.39;30.06;0.12;0.37;28.12;78.09793297;5.3;33.75009306;0.59;0
427;-6.922594444;112.4165944;Ponpes Daarul Quranan Nur Lamongan ;10/02/2024;7.09;7.99;0.42;30.15;0.12;0.37;28.5;78.84502332;4.51;57.34598323;0.41;0
428;-7.631058333;111.5300167;Madiun ;10/02/2024;7.13;8.03;0.30;30.36;0.13;0.38;25.8800004;83.33847347;3.290721062;80.1009936;0.6;0
429;-8.258658333;112.1727972;"Gununggede Wonotirto
Blitar, JawaTimur";10/02/2024;7.12;8.01;0.21;30.34;0.13;0.37;25.69412495;75.09025194;5.037685242;77.83109024;0.67;0
430;-6.642352778;110.6439194;Pantai Semat;10/02/2024;7.15;8.05;0.43;30.38;0.13;0.38;27.78;75.61883803;4.24;50.00047776;0.34;0
431;-6.801030556;110.8358778;GSG Ma'had Aly TBS Kudus;10/02/2024;7.15;8.04;0.41;30.37;0.13;0.38;28.43;70.85629688;2.44;44.19113012;0.34;0
432;-6.991836111;110.3481111;Observatorium UIN Walisongo;10/02/2024;7.16;8.06;0.37;30.46;0.13;0.38;28.43;73.27146901;2.44;47.49320579;0.34;0
